#w_matsubara  g11_Re     g11_Im     g12_Re     g12_Im     g14_Re     g14_Im
4.2411501 -0.0202944 -0.2985638  0.0255040 -0.0073426 -0.0001132 -0.0001758
4.3039819 -0.0207649 -0.2972359  0.0251665 -0.0068872 -0.0001010 -0.0001609
4.3668138 -0.0205225 -0.2947376  0.0248743 -0.0066239 -0.0001001 -0.0001617
4.4296456 -0.0207321 -0.2928928  0.0244718 -0.0066203 -0.0000996 -0.0001582
4.4924775 -0.0209304 -0.2899195  0.0241372 -0.0065106 -0.0000967 -0.0001463
4.5553093 -0.0219286 -0.2876437  0.0235668 -0.0063868 -0.0000916 -0.0001444
4.6181412 -0.0211276 -0.2853273  0.0231699 -0.0063528 -0.0000924 -0.0001412
4.6809731 -0.0209900 -0.2828719  0.0227569 -0.0060585 -0.0000787 -0.0001279
4.7438049 -0.0216509 -0.2811057  0.0224443 -0.0058579 -0.0000761 -0.0001278
4.8066368 -0.0210923 -0.2791813  0.0221387 -0.0060235 -0.0000846 -0.0001232
4.8694686 -0.0215285 -0.2766189  0.0216205 -0.0060292 -0.0000756 -0.0001157
4.9323005 -0.0216797 -0.2747703  0.0213289 -0.0059926 -0.0000709 -0.0001133
4.9951323 -0.0218387 -0.2726363  0.0209708 -0.0057662 -0.0000708 -0.0001088
5.0579642 -0.0215319 -0.2696585  0.0206192 -0.0058827 -0.0000624 -0.0001048
5.1207960 -0.0214500 -0.2683164  0.0201667 -0.0057614 -0.0000683 -0.0000954
5.1836279 -0.0212060 -0.2663918  0.0199839 -0.0053412 -0.0000631 -0.0000901
5.2464597 -0.0214418 -0.2650030  0.0196011 -0.0054929 -0.0000565 -0.0000993
5.3092916 -0.0215945 -0.2636985  0.0196129 -0.0053588 -0.0000617 -0.0000944
5.3721234 -0.0225631 -0.2608131  0.0192402 -0.0049615 -0.0000586 -0.0000903
5.4349553 -0.0214450 -0.2591726  0.0189201 -0.0050858 -0.0000531 -0.0000843
5.4977871 -0.0215718 -0.2572152  0.0183670 -0.0051275 -0.0000554 -0.0000733
5.5606190 -0.0208482 -0.2559743  0.0184041 -0.0049978 -0.0000531 -0.0000750
5.6234508 -0.0222299 -0.2539974  0.0180211 -0.0050600 -0.0000473 -0.0000769
5.6862827 -0.0216837 -0.2511365  0.0177893 -0.0047768 -0.0000560 -0.0000671
5.7491146 -0.0217134 -0.2500864  0.0174784 -0.0047162 -0.0000486 -0.0000690
5.8119464 -0.0216609 -0.2495040  0.0173359 -0.0045383 -0.0000481 -0.0000617
