model	E_kin	U	eb1-g1_1	eb2-g1_1	eb3-g1_1	eb4-g1_1	eb5-g1_1	eb6-g1_1	eb7-g1_1	eb8-g1_1	mu	t	tb1-g1_1	tb2-g1_1	tb3-g1_1	tb4-g1_1	tb5-g1_1	tb6-g1_1	tb7-g1_1	tb8-g1_1	ave_mu	ave_t	ave_U_1	ave_eb1-g1_1	ave_eb2-g1_1	ave_eb3-g1_1	ave_eb4-g1_1	ave_eb5-g1_1	ave_eb6-g1_1	ave_eb7-g1_1	ave_eb8-g1_1	ave_mu_1	ave_t_1	ave_tb1-g1_1	ave_tb2-g1_1	ave_tb3-g1_1	ave_tb4-g1_1	ave_tb5-g1_1	ave_tb6-g1_1	ave_tb7-g1_1	ave_tb8-g1_1	E0_1	sector_1	n_1	githash	version	GS_consistency	method	iterations	dist_function	convergence	script	time
4s_8b_1sb	-0.96773914	4	0.99130218	-0.62035627	1.9201894	-1.5966729	1.0318869	-0.62927413	2.0287085	-1.6390096	1.7959184	1	0.24594948	0.26634894	0.40119474	0.38990536	0.26900125	-0.27219614	0.39040528	0.38873671	1.0000014	-0.96773914	0.10251935	0.010828267	1.9613368	0.016219893	1.9643167	0.039281201	1.9871741	0.035190383	1.9857426	0.99997752	-0.82153594	-0.25674626	-0.56851055	-0.31890524	-0.56105704	-0.57308856	0.27970785	-0.55734621	-0.29935399	-18.659298	R0:N12:S0:1	0.99997752	b8bd2d5	v2.4.7	Y	fixed_point	6	sharp_wc_2.0_b_50	parameters	model_1D_4s_8b.py	2026-02-21@10:32
4s_8b_1sb	-0.96773201	4	1.0117042	-0.59462629	1.9292384	-1.5554938	1.0499936	-0.60603735	2.0437212	-1.6103607	1.7755102	1	0.24498017	0.26292667	0.40076727	0.39109028	0.26781819	-0.27059671	0.39101863	0.38956331	1.0000009	-0.96773201	0.10251296	0.010743131	1.9621006	0.016283165	1.9635816	0.039034583	1.9872986	0.035430135	1.9856218	0.9999766	-0.8215411	-0.2557428	-0.5627435	-0.3194978	-0.56661528	-0.5712282	0.27832756	-0.55919113	-0.30059532	-18.339462	R0:N12:S0:1	0.9999766	b8bd2d5	v2.4.7	Y	fixed_point	11	sharp_wc_2.0_b_50	parameters	model_1D_4s_8b.py	2026-02-21@10:34
4s_8b_1sb	-0.96769155	4	1.0216243	-0.56584902	1.9025048	-1.5003858	1.0559183	-0.57046691	1.9864418	-1.5246612	1.755102	1	0.23664126	0.25734934	0.40294658	0.39253337	0.25671312	-0.26061559	0.39379077	0.39235252	1.0000039	-0.96769155	0.10247803	0.010101178	1.9633547	0.016879557	1.9624173	0.036443474	1.9880896	0.037917018	1.9849158	0.99997036	-0.82156312	-0.24793449	-0.55316104	-0.32514815	-0.57526916	-0.55161777	0.26946965	-0.57773717	-0.30773169	-17.844318	R0:N12:S0:1	0.99997036	b8bd2d5	v2.4.7	Y	fixed_point	4	sharp_wc_2.0_b_50	parameters	model_1D_4s_8b.py	2026-02-21@10:35
4s_8b_1sb	-0.96767846	4	1.0238684	-0.54768805	1.8996905	-1.4853275	1.0620064	-0.54370714	1.9562225	-1.4765367	1.7346939	1	0.22795548	0.25867117	0.40752303	0.39170929	0.24705191	-0.25634589	0.39738117	0.39323178	1.0000056	-0.96767846	0.10246489	0.0094998334	1.9630709	0.017482023	1.9627157	0.034298565	1.9884236	0.040023215	1.9846267	0.99996485	-0.82156883	-0.24033195	-0.55534945	-0.33081339	-0.57303005	-0.53480704	0.26564919	-0.59303598	-0.31060595	-17.54537	R0:N12:S0:1	0.99996485	b8bd2d5	v2.4.7	Y	fixed_point	10	sharp_wc_2.0_b_50	parameters	model_1D_4s_8b.py	2026-02-21@10:37
4s_8b_1sb	-0.96768097	4	1.0469797	-0.52637516	1.9261206	-1.4645572	1.0782983	-0.52410597	1.9697685	-1.4592569	1.7142857	1	0.2296614	0.25824813	0.4067698	0.39211106	0.24490153	-0.25691279	0.39863286	0.39299121	1.0000053	-0.96768097	0.10246522	0.0096231602	1.9631531	0.017360663	1.9626289	0.033861005	1.9883789	0.040474277	1.9846707	0.99996232	-0.82156773	-0.2419015	-0.5547067	-0.32968405	-0.57369085	-0.53128379	0.26616514	-0.59629027	-0.31017323	-17.305917	R0:N12:S0:1	0.99996232	b8bd2d5	v2.4.7	Y	fixed_point	5	sharp_wc_2.0_b_50	parameters	model_1D_4s_8b.py	2026-02-21@10:38
4s_8b_1sb	-0.96765868	4	1.0790145	-0.49992489	1.9375924	-1.4213362	1.1046666	-0.49847416	1.9742098	-1.4174542	1.6938776	1	0.2322848	0.25428252	0.40380232	0.39327881	0.24527006	-0.2533643	0.39671264	0.39383931	1.0000069	-0.96765868	0.10244781	0.0097596062	1.964037	0.017191218	1.9617998	0.033732615	1.988657	0.040548044	1.9844313	0.99996085	-0.8215795	-0.24369024	-0.54788031	-0.32805091	-0.57979687	-0.53043171	0.26295725	-0.59666561	-0.31253852	-16.948556	R0:N12:S0:1	0.99996085	b8bd2d5	v2.4.7	Y	fixed_point	10	sharp_wc_2.0_b_50	parameters	model_1D_4s_8b.py	2026-02-21@10:41
4s_8b_1sb	-0.96764032	4	1.1086314	-0.47592007	1.9509783	-1.3858893	1.129329	-0.47399351	1.9756765	-1.3797958	1.6734694	1	0.23451915	0.25179209	0.40133077	0.39383464	0.24463607	-0.25052923	0.39542878	0.39438332	1.0000087	-0.96764032	0.10243224	0.0098806641	1.9645977	0.01704614	1.9612826	0.033395999	1.9888784	0.040842659	1.9842459	0.99995746	-0.82158838	-0.24526014	-0.54351589	-0.32664753	-0.58355855	-0.52789043	0.26038049	-0.59862226	-0.31435881	-16.622449	R0:N12:S0:1	0.99995746	b8bd2d5	v2.4.7	Y	fixed_point	9	sharp_wc_2.0_b_50	parameters	model_1D_4s_8b.py	2026-02-21@10:42
4s_8b_1sb	-0.96763245	4	1.141704	-0.45350146	1.9628475	-1.3540103	1.1516314	-0.45381765	1.9926362	-1.3603123	1.6530612	1	0.23754888	0.25019804	0.39820029	0.39385254	0.24493964	-0.25072237	0.39491416	0.39420546	1.0000091	-0.96763245	0.10242139	0.010043699	1.9649644	0.016859563	1.9609605	0.033405464	1.9888639	0.040837126	1.9842682	0.99994929	-0.82159497	-0.24735888	-0.54065672	-0.32483119	-0.58587351	-0.52800974	0.26055848	-0.59853979	-0.31414368	-16.352218	R0:N12:S0:1	0.99994929	b8bd2d5	v2.4.7	Y	fixed_point	6	sharp_wc_2.0_b_50	parameters	model_1D_4s_8b.py	2026-02-21@10:44
4s_8b_1sb	-0.9675949	4	1.1686675	-0.42498953	1.9490235	-1.3040661	1.1472281	-0.42608569	1.933067	-1.3089832	1.6326531	1	0.23496591	0.244703	0.39707231	0.3952774	0.22539736	-0.24552171	0.40274727	0.39511318	1.000014	-0.9675949	0.10238879	0.0097790639	1.9661847	0.017080862	1.9598384	0.029090393	1.989267	0.045066506	1.9839356	0.99993937	-0.82161108	-0.24413174	-0.53098874	-0.32684676	-0.59393036	-0.49218313	0.25579749	-0.62778521	-0.31738855	-15.952964	R0:N12:S0:1	0.99993937	b8bd2d5	v2.4.7	Y	fixed_point	7	sharp_wc_2.0_b_50	parameters	model_1D_4s_8b.py	2026-02-21@10:45
4s_8b_1sb	-0.96757018	4	1.194709	-0.40147774	1.9585416	-1.271447	1.1810044	-0.4005638	1.9277215	-1.267108	1.6122449	1	0.2355488	0.24248761	0.39554057	0.39572772	0.22553941	-0.24183517	0.4003206	0.39569944	1.0000175	-0.96757018	0.10236942	0.009787082	1.9666826	0.017051091	1.9593923	0.028685617	1.9895517	0.045401978	1.9837033	0.99993606	-0.8216204	-0.24427177	-0.52700742	-0.32652961	-0.59709029	-0.48906349	0.25239832	-0.62979375	-0.31963955	-15.622716	R0:N12:S0:1	0.99993606	b8bd2d5	v2.4.7	Y	fixed_point	6	sharp_wc_2.0_b_50	parameters	model_1D_4s_8b.py	2026-02-21@10:47
