model	U	wc	method	eb1-g1_1	eb2-g1_1	eb3-g1_1	eb4-g1_1	tb1-g1_1	tb2-g1_1	tb3-g1_1	tb4-g1_1	eb1-g2_1	eb2-g2_1	eb3-g2_1	eb4-g2_1	tb1-g2_1	tb2-g2_1	tb3-g2_1	tb4-g2_1	mu	t	ave_mu	ave_t	sector_sb1	consistency_sb1	sector_sb2	consistency_sb2	Sub-bath 1 weight	Sub-bath 2 weight	opt_iterations	opt_time_ratio	distance	session_id	datetime
4s_4b_2sb	4.0	2.0	bobyqa	1.3848084809502308	-0.828754873945466	0.01796782221070744	-0.14294738546141708	0.5868703840809344	0.5388407185326837	0.15599757439824777	0.293428149454446	-0.14239757494331332	1.3844809571058434	-0.8280264855357191	0.018102263513498095	0.2933368825117208	0.5868108452244883	0.5389378025155769	0.15555226919363485	1.2040816326530612	1.0	0.9243602250238998	-0.9911962833904868	R0:N8:S0:0.756/R0:N9:S-1:0.114/R0:N10:S0:0.0158/R0:N9:S1:0.114	N	R0:N7:S1:0.0179/R0:N7:S-1:0.0179/R0:N8:S0:0.964	N	0.500000	0.500000	419	0.061	1.580659064e-04	mu_sweep_20260220_095832	2026-02-20@10:01
4s_4b_2sb	4.0	2.0	bobyqa	1.3884871609366056	-0.8444882670438525	0.012576335531008134	-0.15055012450319855	0.5876200908665568	0.5396012083929201	0.14960672958088922	0.29612020749603535	-0.15035686683043278	1.3886668230255257	-0.8443334475007184	0.012892001572729742	0.2961726428033013	0.5876252199166908	0.5396399149371578	0.14937905572608334	1.2244897959183674	1.0	0.9295225896794619	-0.9913486952075751	R0:N8:S0:0.627/R0:N10:S0:0.041/R0:N9:S-1:0.166/R0:N9:S1:0.166	N	R0:N8:S0:0.978/R0:N7:S1:0.0112/R0:N7:S-1:0.0112	N	0.500000	0.500000	430	0.045	1.465887015e-04	mu_sweep_20260220_095832	2026-02-20@10:01
4s_4b_2sb	4.0	2.0	bobyqa	1.3929067134017612	-0.860553087578195	0.007211884279595667	-0.15851640378900345	0.5884152256988442	0.5402066469849717	0.1434549330733135	0.29880714200364833	-0.15876415976199487	1.3931959559688818	-0.8609358610246114	0.007284364819501588	0.2988960750142681	0.5884544125053676	0.5401631412054942	0.14362771993143372	1.2448979591836735	1.0	0.9348400455901422	-0.9913541849432463	R0:N9:S1:0.218/R0:N9:S-1:0.218/R0:N10:S0:0.0949/R0:N8:S0:0.47	N	R0:N8:S0:1	Y	0.500000	0.500000	492	0.060	1.362630575e-04	mu_sweep_20260220_095832	2026-02-20@10:02
4s_4b_2sb	4.0	2.0	bobyqa	1.396570824938521	-0.8772420791330993	0.0015463336747120148	-0.16714828463347003	0.5892222271511338	0.5406567722077007	0.13769296303420225	0.30147880711183556	-0.16741157332537956	1.3966422488943757	-0.8775648822354214	0.0013879974277201223	0.3015070649215749	0.5892422729521596	0.5406065490171077	0.13793881024638563	1.2653061224489797	1.0	0.9405111628098088	-0.9913509179537803	R0:N9:S1:0.25/R0:N9:S-1:0.25/R0:N10:S0:0.198/R0:N8:S0:0.301	N	R0:N8:S0:1	Y	0.500000	0.500000	680	0.066	1.272597989e-04	mu_sweep_20260220_095832	2026-02-20@10:02
4s_4b_2sb	4.0	2.0	bobyqa	1.4000242803623373	-0.8942070282955027	-0.004717532143616473	-0.17646618154346214	0.5900138488384816	0.5409889462199626	0.13212750085380004	0.30406061494872194	-0.1764650216704339	1.3999240971163676	-0.8941649505601076	-0.0048234795252460865	0.3040313727025997	0.5900042853412493	0.5409878404900339	0.13215274806380523	1.2857142857142856	1.0	0.9467524864214545	-0.991220132965552	R0:N9:S1:0.241/R0:N9:S-1:0.241/R0:N10:S0:0.365/R0:N8:S0:0.153	N	R0:N8:S0:1	Y	0.500000	0.500000	440	0.077	1.197003533e-04	mu_sweep_20260220_095832	2026-02-20@10:02
4s_4b_2sb	4.0	2.0	bobyqa	1.4056670226944685	-0.9105483121550567	-0.01171049824295223	-0.18636712176435002	0.5907550871426778	0.541336106910972	0.1261385468649481	0.30640732391219344	-0.18624514705776293	1.4056053892299285	-0.9103865475626833	-0.011668265038621757	0.3063816635722317	0.5907435599886707	0.5413599182369495	-0.12603010787498162	1.3061224489795917	1.0	0.9539876805736447	-0.9905651071167715	R0:N8:S0:0.0574/R0:N10:S0:0.574/R0:N9:S-1:0.184/R0:N9:S1:0.184	N	R0:N8:S0:0.962/R0:N9:S1:0.0188/R0:N9:S-1:0.0188	N	0.500000	0.500000	995	0.074	1.141447023e-04	mu_sweep_20260220_095832	2026-02-20@10:02
4s_4b_2sb	4.0	2.0	bobyqa	1.4140466342840659	-0.9259222901329568	-0.019587906729316984	-0.19691032915134787	0.5914963027777157	0.5418728005466682	0.11906906522151232	0.30839985930417585	-0.19687874639709083	1.4140527225651505	-0.9258900691907804	-0.019543463386442122	0.30840089980987767	0.591495140068325	0.5418786588099002	0.11903169355742171	1.3265306122448979	1.0	0.9635229379248401	-0.9892693365435083	R0:N8:S0:0.0155/R0:N10:S0:0.764/R0:N9:S-1:0.11/R0:N9:S1:0.11	N	R0:N8:S0:0.877/R0:N9:S1:0.0614/R0:N9:S-1:0.0614	N	0.500000	0.500000	539	0.059	1.108785443e-04	mu_sweep_20260220_095832	2026-02-20@10:02
4s_4b_2sb	4.0	2.0	bobyqa	1.4429106181353133	-0.941458774445369	-0.027900879754938917	-0.2084635692937514	0.5931440287723178	0.5425044931447265	0.11105113254906755	0.3106766059989721	-0.20848192846693794	1.4429209961493308	-0.9414841631764352	-0.02790441136234614	0.31068193406844463	0.5931458548511893	0.5425006750292499	0.11106701835509133	1.346938775510204	1.0	0.977782882440678	-0.985886623806627	R0:N10:S0:0.89/R0:N9:S1:0.0551/R0:N9:S-1:0.0551	N	R0:N8:S0:0.635/R0:N9:S1:0.167/R0:N10:S0:0.03/R0:N9:S-1:0.167	N	0.500000	0.500000	710	0.066	1.072735291e-04	mu_sweep_20260220_095832	2026-02-20@10:03
4s_4b_2sb	4.0	2.0	bobyqa	1.5184748817034364	-0.9701423614390281	-0.038607689749060176	-0.2270545656240146	0.5986712566977866	0.542211346975363	0.10586323013006069	0.31679112020321254	-0.22705175650118772	1.518470149697886	-0.9701279736151832	-0.03861044060699763	0.3167860677207237	0.598669865091984	0.5422122070400085	0.10586620095551996	1.3673469387755102	1.0	0.9949196210257443	-0.9795198154095378	R0:N10:S0:0.96/R0:N9:S1:0.0202/R0:N9:S-1:0.0202	N	R0:N9:S1:0.272/R0:N8:S0:0.26/R0:N10:S0:0.197/R0:N9:S-1:0.272	N	0.500000	0.500000	653	0.119	9.066757592e-05	mu_sweep_20260220_095832	2026-02-20@10:03
4s_4b_2sb	4.0	2.0	bobyqa	1.6654020693595362	-1.0500864252993305	-0.06052974163347299	-0.27121473163752285	0.613445110973089	0.5372073021219869	0.11625818961390327	0.33534791064887953	-0.2712207670045318	1.6654054901443835	-1.0500968539669382	-0.06053277999293311	0.33534999694084494	0.6134459257346359	0.5372059794658537	0.11626254555845361	1.3877551020408163	1.0	0.9975641854870979	-0.9714940452493148	R0:N10:S0:1	Y	R0:N9:S1:0.172/R0:N10:S0:0.625/R0:N8:S0:0.0309/R0:N9:S-1:0.172	N	0.500000	0.500000	464	0.149	4.693789338e-05	mu_sweep_20260220_095832	2026-02-20@10:03
