model	U	wc	method	eb1-g1_1	eb2-g1_1	eb3-g1_1	eb4-g1_1	tb1-g1_1	tb2-g1_1	tb3-g1_1	tb4-g1_1	eb1-g2_1	eb2-g2_1	eb3-g2_1	eb4-g2_1	tb1-g2_1	tb2-g2_1	tb3-g2_1	tb4-g2_1	mu	t	ave_mu	ave_t	sector_sb1	consistency_sb1	sector_sb2	consistency_sb2	Sub-bath 1 weight	Sub-bath 2 weight	opt_iterations	opt_time_ratio	distance	session_id	datetime
4s_4b_2sb	4.0	2.0	subplex	1.3834260568879346	-0.14396555420456653	0.01702064294938467	-0.8287131270569371	-0.5867464322924347	0.2936482026390015	0.15407529226296574	0.5392571371608519	-0.1434202637235849	1.3832714673603155	-0.8279823648682425	0.017267705636755476	-0.29356674450785636	0.5866988914468232	0.5393591917971947	0.15363171664456737	1.2040816326530612	1.0	0.9253412336127078	-0.9911684188025703	R0:N8:S0:0.975/R0:N10:S0:0.0247	N	R0:N8:S0:1	Y	0.500000	0.500000	690	0.303	1.576281494e-04	mu_sweep_20250904_103945	2025-09-04@10:42
4s_4b_2sb	4.0	2.0	subplex	1.3861781195505323	-0.15183238703831053	0.011517178549695868	-0.8445512141576623	-0.5874682169428402	0.2962592107764502	0.14737543579962903	0.5401198126037606	-0.1516771822341746	1.3864048852587594	-0.8442805638199551	0.011815581149912985	-0.29623903993128464	0.5874658431059835	0.5401581036469136	0.14726042691932759	1.2244897959183674	1.0	0.9307979560691413	-0.991336391349225	R0:N8:S0:0.925/R0:N10:S0:0.0749	N	R0:N8:S0:1	Y	0.500000	0.500000	693	0.329	1.467283954e-04	mu_sweep_20250904_103945	2025-09-04@10:42
4s_4b_2sb	4.0	2.0	subplex	1.3901611568739183	-0.15958189402320716	0.006383088248742601	-0.860422169920185	-0.5882365632283831	0.29864740042296556	0.14172707136846363	0.5407055534031193	-0.1595638724765983	1.3903750056302018	-0.8601044174075242	0.006461828367698837	-0.29850680916459205	0.588230086664853	0.5407319239909072	0.14187282697726403	1.2448979591836735	1.0	0.93600643672335	-0.9913617078106891	R0:N8:S0:0.807/R0:N10:S0:0.193	N	R0:N8:S0:1	Y	0.500000	0.500000	769	0.330	1.371938255e-04	mu_sweep_20250904_103945	2025-09-04@10:43
4s_4b_2sb	4.0	2.0	subplex	1.395852855912158	-0.16704968341486745	0.0015200622316479597	-0.876443990284433	-0.589104189032624	0.30098204973703235	0.13720209183037496	0.5409879345908025	-0.16725362756701814	1.3958907323564609	-0.8765948930873002	0.0013680716305317254	-0.3009648800274438	0.5891143414531156	0.540951633848253	-0.1374243465826985	1.2653061224489797	1.0	0.9408715068629777	-0.991296771129731	R0:N10:S0:0.398/R0:N8:S0:0.602	N	R0:N8:S0:1	Y	0.500000	0.500000	714	0.297	1.283856634e-04	mu_sweep_20250904_103945	2025-09-04@10:43
4s_4b_2sb	4.0	2.0	subplex	1.4022061839023228	-0.17546629181498483	-0.0037720215357919078	-0.8942311363162623	-0.59010580196451	0.3039629590815216	0.13321536458012906	0.5408507853875169	-0.1751509623705777	1.402098749290354	-0.8934454128457252	-0.003803697297319517	-0.30371001341385	0.5900566940235176	0.5409317080388517	-0.13316879410835636	1.2857142857142856	1.0	0.945853607213039	-0.991188215731984	R0:N10:S0:0.664/R0:N8:S0:0.336	N	R0:N8:S0:1	Y	0.500000	0.500000	698	0.325	1.199413192e-04	mu_sweep_20250904_103945	2025-09-04@10:43
4s_4b_2sb	4.0	2.0	subplex	1.4058865375151601	-0.1848479129114356	-0.010316894772803878	-0.9109354089994914	-0.5909106317566989	0.30655711645304495	0.12787915173479744	0.5409999645427366	-0.18510898702592374	1.4057986084025949	-0.9115565157718477	-0.010407566018337915	-0.3067537201958143	0.5909329500765682	0.540921289528904	-0.12791571780923433	1.3061224489795917	1.0	0.9524874155928775	-0.9909949952754277	R0:N8:S0:0.117/R0:N10:S0:0.883	N	R0:N8:S0:1	Y	0.500000	0.500000	1032	0.513	1.130604628e-04	mu_sweep_20250904_103945	2025-09-04@10:44
4s_4b_2sb	4.0	2.0	subplex	1.4046501778990264	-0.19566998004527356	-0.018840266154362528	-0.9259393502706528	-0.5913276323514298	0.30825576609779826	0.12009542224707484	0.5417610269645521	-0.19636274925238303	1.404679017388096	-0.927373330675461	-0.019003955376334994	-0.30867990814804697	0.5913870963385166	0.5415674872935287	-0.12035697518474422	1.3265306122448979	1.0	0.9626430191050955	-0.990518280003862	R0:N8:S0:0.0229/R0:N10:S0:0.977	N	R0:N8:S0:1	Y	0.500000	0.500000	1103	0.559	1.101153373e-04	mu_sweep_20250904_103945	2025-09-04@10:44
4s_4b_2sb	4.0	2.0	subplex	1.411879243094595	-0.20619449034144538	-0.027499341314238052	-0.9384364971925172	-0.5917159809904525	0.3094333880774605	0.11002700846973562	0.5428140532269699	-0.207111405599267	1.4118955734490393	-0.9400525906765387	-0.02783102437602028	-0.30989275961782126	0.5917763925367931	0.5425639619880152	0.11051890541940748	1.346938775510204	1.0	0.9788053791686967	-0.9885510348771709	R0:N10:S0:1	Y	R0:N10:S0:0.05/R0:N8:S0:0.95	N	0.500000	0.500000	718	0.334	1.120072843e-04	mu_sweep_20250904_103945	2025-09-04@10:45
4s_4b_2sb	4.0	2.0	subplex	1.499091988447484	-0.22111803137606784	-0.0354002586181739	-0.9602110716009143	-0.5966123793129448	0.3147838916767561	0.10184464747569606	0.5428001647663132	-0.221060885775595	1.4990736221665535	-0.9600692091678994	-0.03538666983055962	-0.31474298503910114	0.596605164892458	0.5428159340843035	-0.10182177259253852	1.3673469387755102	1.0	0.9951254294000685	-0.9805751538175608	R0:N10:S0:1	Y	R0:N8:S0:0.614/R0:N10:S0:0.386	N	0.500000	0.500000	717	0.358	1.027322725e-04	mu_sweep_20250904_103945	2025-09-04@10:45
4s_4b_2sb	4.0	2.0	subplex	1.8056128313214472	-0.3043332909447155	-0.06958100980335082	-1.1336922652695685	-0.6288354847830766	0.35530845062479277	0.13331727433970836	0.5304672903889949	-0.3045719938829674	1.8055962489089281	-1.1341556134508346	-0.06963446395678505	-0.3554297434038197	0.6288396605814186	0.5303798131976649	-0.1334230133004316	1.3877551020408163	1.0	0.9991747770264705	-0.9666038931609957	R0:N10:S0:1	Y	R0:N8:S0:0.0523/R0:N10:S0:0.948	N	0.500000	0.500000	704	0.348	1.823326543e-05	mu_sweep_20250904_103945	2025-09-04@10:46
