#w_matsubara  g11_Re     g11_Im     g12_Re     g12_Im     g14_Re     g14_Im     
 4.3039819  0.0003404 -0.2615791  0.0319401 -0.0000563  0.0000022 -0.0002394
 4.3668138  0.0003411 -0.2605451  0.0313890 -0.0000550  0.0000026 -0.0002302
 4.4296456  0.0003312 -0.2595004  0.0308499 -0.0000529  0.0000029 -0.0002209
 4.4924775  0.0003120 -0.2584456  0.0303225 -0.0000503  0.0000029 -0.0002118
 4.5553093  0.0002858 -0.2573808  0.0298065 -0.0000476  0.0000026 -0.0002029
 4.6181412  0.0002544 -0.2563072  0.0293016 -0.0000450  0.0000019 -0.0001943
 4.6809731  0.0002198 -0.2552242  0.0288074 -0.0000428  0.0000009 -0.0001863
 4.7438049  0.0001842 -0.2541318  0.0283236 -0.0000411 -0.0000004 -0.0001789
 4.8066368  0.0001495 -0.2530300  0.0278500 -0.0000400 -0.0000019 -0.0001720
 4.8694686  0.0001166 -0.2519184  0.0273863 -0.0000394 -0.0000034 -0.0001658
 4.9323005  0.0000867 -0.2507968  0.0269321 -0.0000396 -0.0000049 -0.0001600
 4.9951323  0.0000603 -0.2496650  0.0264873 -0.0000401 -0.0000062 -0.0001547
 5.0579642  0.0000375 -0.2485231  0.0260515 -0.0000407 -0.0000072 -0.0001497
 5.1207960  0.0000185 -0.2473716  0.0256245 -0.0000412 -0.0000078 -0.0001450
 5.1836279  0.0000034 -0.2462113  0.0252059 -0.0000414 -0.0000080 -0.0001405
 5.2464597 -0.0000084 -0.2450433  0.0247955 -0.0000411 -0.0000080 -0.0001360
 5.3092916 -0.0000166 -0.2438690  0.0243927 -0.0000401 -0.0000077 -0.0001315
 5.3721234 -0.0000212 -0.2426901  0.0239975 -0.0000384 -0.0000071 -0.0001269
 5.4349553 -0.0000219 -0.2415088  0.0236095 -0.0000357 -0.0000065 -0.0001222
 5.4977871 -0.0000182 -0.2403273  0.0232286 -0.0000322 -0.0000059 -0.0001175
 5.5606190 -0.0000096 -0.2391475  0.0228548 -0.0000281 -0.0000054 -0.0001128
 5.6234508  0.0000040 -0.2379716  0.0224879 -0.0000233 -0.0000051 -0.0001083
 5.6862827  0.0000229 -0.2368017  0.0221279 -0.0000181 -0.0000050 -0.0001039
 5.7491146  0.0000470 -0.2356394  0.0217748 -0.0000126 -0.0000052 -0.0000999
 5.8119464  0.0000763 -0.2344854  0.0214288 -0.0000073 -0.0000058 -0.0000964
 5.8747783  0.0001090 -0.2333407  0.0210902 -0.0000021 -0.0000067 -0.0000933
 5.9376101  0.0001443 -0.2322044  0.0207592  0.0000026 -0.0000078 -0.0000908
 6.0004420  0.0001804 -0.2310767  0.0204361  0.0000069 -0.0000090 -0.0000889
 6.0632738  0.0002146 -0.2299563  0.0201210  0.0000105 -0.0000103 -0.0000873
 6.1261057  0.0002445 -0.2288417  0.0198141  0.0000136 -0.0000116 -0.0000861
 6.1889375  0.0002680 -0.2277312  0.0195156  0.0000161 -0.0000126 -0.0000850
 6.2517694  0.0002825 -0.2266227  0.0192256  0.0000181 -0.0000132 -0.0000839
 6.3146012  0.0002858 -0.2255143  0.0189439  0.0000197 -0.0000134 -0.0000826
 6.3774331  0.0002773 -0.2244044  0.0186706  0.0000210 -0.0000130 -0.0000810
 6.4402649  0.0002564 -0.2232916  0.0184052  0.0000220 -0.0000121 -0.0000791
 6.5030968  0.0002238 -0.2221752  0.0181473  0.0000227 -0.0000107 -0.0000767
 6.5659286  0.0001807 -0.2210552  0.0178961  0.0000231 -0.0000088 -0.0000738
 6.6287605  0.0001297 -0.2199320  0.0176512  0.0000233 -0.0000065 -0.0000705
 6.6915924  0.0000738 -0.2188064  0.0174117  0.0000233 -0.0000041 -0.0000668
 6.7544242  0.0000170 -0.2176808  0.0171769  0.0000227 -0.0000015 -0.0000629
 6.8172561 -0.0000365 -0.2165567  0.0169459  0.0000216  0.0000010 -0.0000588
 6.8800879 -0.0000832 -0.2154372  0.0167180  0.0000199  0.0000033 -0.0000548
 6.9429198 -0.0001196 -0.2143248  0.0164925  0.0000176  0.0000054 -0.0000511
 7.0057516 -0.0001429 -0.2132228  0.0162687  0.0000145  0.0000070 -0.0000478
 7.0685835 -0.0001515 -0.2121337  0.0160463  0.0000107  0.0000081 -0.0000450
 7.1314153 -0.0001446 -0.2110593  0.0158250  0.0000063  0.0000086 -0.0000428
 7.1942472 -0.0001230 -0.2100013  0.0156048  0.0000015  0.0000084 -0.0000413
